## Tot.Pairs: Total number of read pairs.
## Conc.Uniq.: Uniquely and concordantly mapped pairs.
## Conc.Mult.: Multiply and concordantly mapped pairs.
## Discord.:  Discordantly mapped pairs.
## Un.Pairs: Unmapped pairs.
## Un.Mates: Reads or mates from unmapped pairs that do not map either as single reads.
## Uniq.Mates: Mates from unmapped pairs that map uniquely as single reads.
## Mult.Mates: Mates from unmapped pairs that map ambiguously as single reads.
## Overall: Overall mapping rate.
# Sample	Tot.Pairs	Conc.Uniq.	Conc.Mult.	Discord.	Un.Pairs	Un.Mates	Uniq.Mates	Mult.Mates	Overall
BlCl0093	  1004673	     71794	      8759	   24702	  899418	  975796	    256073	    566967	     51
BlCl0091	   895223	     76372	     10454	   20554	  787843	  867549	    222762	    485375	     51
BlCa0076	   848098	     75129	      9785	   23877	  739307	  766394	    221034	    491186	     54
StCa0003	   777321	     79419	     10285	   19622	  667995	  722124	    192397	    421469	     53
StCf0044	   771016	     73291	      9661	   21062	  667002	  718192	    198274	    417538	     53
BlCa0065	   760077	     87354	     10602	   19833	  642288	  669236	    188547	    426793	     55
BlCl0094	   717395	     90598	     11495	   18400	  596902	  623624	    176318	    393862	     56
BlCa0080	   698986	     64747	      8564	   18941	  606734	  640005	    179019	    394444	     54
StCf0039	   680602	     54405	      6707	   17667	  601823	  659532	    174703	    369411	     51
StCa0015	   679480	     48747	      5799	   18663	  606271	  643954	    179106	    389482	     52
StCa0019	   672654	     47064	      5368	   17639	  602583	  629152	    173395	    402619	     53
BlCl0095	   650144	     77752	     10042	   16964	  545386	  571482	    159789	    359501	     56
StCf0037	   649201	     61347	      7803	   16160	  563891	  610959	    162559	    354264	     52
StCa0016	   640088	     75808	     10249	   15835	  538196	  572699	    157536	    346157	     55
BlCl0116	   636846	     52280	      6658	   15038	  562870	  625564	    159846	    340330	     50
StCa0001	   618254	     68274	      8521	   17763	  523696	  546600	    155658	    345134	     55
BlCa0083	   606179	     81476	     10919	   16923	  496861	  508365	    147474	    337883	     58
StCf0043	   599883	     58992	      7067	   16682	  517142	  544438	    151018	    338828	     54
BlCa0108	   595213	     49331	      6098	   15385	  524399	  560855	    151777	    336166	     52
StCf0050	   580608	     38786	      5086	   15883	  520853	  554698	    154659	    332349	     52
BlCl0098	   542450	     80197	     11066	   14723	  436464	  453820	    131447	    287661	     58
BlCa0104	   528936	     69362	      9232	   14590	  435752	  445319	    131562	    294623	     57
StCf0049	   518165	     60214	      8207	   11572	  438172	  487347	    126487	    262510	     52
