## Tot.Reads: Total number of reads.
## Unmapped:  Aligned 0 times.
## Uniq.Map.: Aligned exactly 1 time.
## Mult.Map.: Aligned >1 times.
## Overall: Overall mapping rate.
# Sample	Tot.Reads	Unmapped	Uniq.Map.	Mult.Map.	Overall
BlCl0098	   881312	  131392	   446246	   303674	     85
StCf0049	   765335	  272953	   334325	   158057	     64
BlCl0091	   744530	  253836	   327317	   163377	     65
BlCa0083	   736000	  137564	   379000	   219436	     81
StCa0001	   684066	  104244	   339546	   240276	     84
BlCl0094	   682543	  200322	   311270	   170951	     70
StCa0016	   622866	  182710	   281788	   158368	     70
StCf0044	   612505	  165088	   276505	   170912	     73
StCa0003	   591837	  172620	   276403	   142814	     70
BlCa0104	   566695	   95346	   285884	   185465	     83
StCf0037	   555137	  178421	   246753	   129963	     67
BlCl0095	   520392	  158294	   231897	   130201	     69
BlCa0080	   476996	  143361	   212213	   121422	     69
BlCa0065	   472518	  111454	   224249	   136815	     76
BlCa0076	   438035	  112581	   203670	   121784	     74
BlCl0116	   415963	  124706	   183983	   107274	     70
StCf0039	   406497	  134973	   176647	    94877	     66
BlCl0093	   396299	  128795	   167158	   100346	     67
BlCa0108	   383310	  106606	   172125	   104579	     72
StCa0015	   373618	  111834	   160135	   101649	     70
StCf0043	   338350	   62444	   165212	   110694	     81
StCa0019	   293166	   87354	   126656	    79156	     70
StCf0050	   263583	   81197	   112863	    69523	     69
