Sample	DNA	P5 Adapter	P5 (µl)	P7 (µl)	Annealing buffer (µl)	Total
St001.1	A01	8.32	2.00	4.68	15.00
St001.2	A01	8.32	2.00	4.68	15.00
St003.1	B01	8.75	2.11	4.15	15.00
St003.2	B01	8.75	2.11	4.15	15.00
St006.1	G01	8.36	2.02	3.62	14.00
St006.2	G01	8.36	2.02	3.62	14.00
St015.1	H01	8.74	2.11	4.16	15.00
St015.2	H01	8.74	2.11	4.16	15.00
St016.1	E01	8.53	2.06	4.42	15.00
St016.2	E01	8.53	2.06	4.42	15.00
St019.1	F01	8.78	2.12	4.11	15.00
St019.2	F01	8.78	2.12	4.11	15.00
St037.1	C01	8.63	2.08	4.29	15.00
St037.2	C01	8.63	2.08	4.29	15.00
St039.1	D01	8.47	2.04	4.49	15.00
St039.2	D01	8.47	2.04	4.49	15.00
St043.1	A01	8.41	2.03	4.57	15.00
St043.2	A01	8.41	2.03	4.57	15.00
St044.1	B01	8.36	2.02	3.62	14.00
St044.2	B01	8.36	2.02	3.62	14.00
St049.1	G01	8.84	2.13	5.03	16.00
St049.2	G01	8.84	2.13	5.03	16.00
St050.1	H01	8.43	2.03	4.54	15.00
St050.2	H01	8.43	2.03	4.54	15.00
Bl065.1	E01	8.81	2.12	5.06	16.00
Bl065.2	E01	8.81	2.12	5.06	16.00
Bl076.1	F01	8.57	2.06	4.37	15.00
Bl076.2	F01	8.57	2.06	4.37	15.00
Bl080.1	C01	8.78	2.12	6.10	17.00
Bl080.2	C01	8.78	2.12	6.10	17.00
Bl083.1	D01	8.63	2.08	5.29	16.00
Bl104.1	A01	8.64	2.08	4.27	15.00
Bl104.2	A01	8.64	2.08	4.27	15.00
Bl108.1	B01	8.75	2.11	4.15	15.00
Bl108.2	B01	8.75	2.11	4.15	15.00
Bl091.1	G01	8.39	2.02	4.59	15.00
Bl091.2	G01	8.39	2.02	4.59	15.00
Bl093.1	H01	8.49	2.05	2.46	13.00
Bl093.2	H01	8.49	2.05	2.46	13.00
Bl094.1	E01	8.62	2.08	4.31	15.00
Bl094.2	E01	8.62	2.08	4.31	15.00
Bl095.1	F01	8.33	2.01	3.66	14.00
Bl095.2	F01	8.33	2.01	3.66	14.00
Bl098.1	C01	8.47	2.04	4.49	15.00
Bl098.2	C01	8.47	2.04	4.49	15.00
Bl116.1	D01	8.87	2.14	2.99	14.00
Bl116.2	D01	8.87	2.14	2.99	14.00
