Sample	P5 adapter	Pool	DNA	Adapters	10X T4 buffer	1.5M NaCl	T4 Ligase	Water	Total
St001	A01	1	32.8	1	4.00	1.00	1.0	0.20	40
St003	B01	1	43.0	1.5	5.20	1.30	1.0	-0.00	52
St006	G01	2	0.0	0	0.20	0.05	1.0	0.75	2
St015	H01	2	43.2	1.5	5.30	1.32	1.0	0.67	53
St016	E01	3	50.1	1.5	6.10	1.52	1.0	0.77	61
St019	F01	3	45.7	1.5	5.60	1.40	1.0	0.80	56
St037	C01	1	44.0	1.5	5.40	1.35	1.0	0.75	54
St039	D01	1	50.8	1.5	6.10	1.52	1.0	0.08	61
St043	A01	2	49.2	1.5	6.00	1.50	1.0	0.80	60
St044	B01	2	43.1	1.5	5.30	1.32	1.0	0.77	53
St049	G01	3	61.0	1.5	7.30	1.82	1.0	0.38	73
St050	H01	3	48.9	1.5	5.90	1.48	1.0	0.23	59
Bl065	E01	1	20.3	1	2.60	0.65	1.0	0.45	26
Bl076	F01	1	33.5	1	4.10	1.02	1.0	0.38	41
Bl080	C01	2	53.7	1.5	6.50	1.62	1.0	0.67	65
Bl083	D01	2	0.0	0	0.20	0.05	1.0	0.75	2
Bl104	A01	3	0.0	0	0.20	0.05	1.0	0.75	2
Bl108	B01	3	49.2	1.5	6.00	1.50	1.0	0.80	60
Bl091	G01	1	59.9	1.5	7.20	1.80	1.0	0.60	72
Bl093	H01	1	55.1	1.5	6.60	1.65	1.0	0.15	66
Bl094	E01	2	53.2	1.5	6.40	1.60	1.0	0.30	64
Bl095	F01	2	57.8	1.5	6.90	1.73	1.0	0.08	69
Bl098	C01	3	0.0	0	0.20	0.05	1.0	0.75	2
Bl116	D01	3	40.9	1.75	5.00	1.25	1.0	0.10	50
